연번,정류장,예정시간,실제도착시간,지연(분)
19,대구대정문 건너,2020-01-03 13:00:00,2020-01-03 13:00:38,0.63
19,대구대정문 건너,2020-01-06 10:30:00,2020-01-06 10:39:05,9.08
19,하양역 건너,2020-01-06 10:40:00,2020-01-06 10:36:56,-3.07
19,상공회의소건너,2020-01-06 11:50:00,2020-01-06 11:58:14,8.23
19,안심역(4번출구),2020-01-06 12:30:00,2020-01-06 12:29:46,-0.23
19,하양역,2020-01-06 12:45:00,2020-01-06 12:45:31,0.52
19,대구대정문 건너,2020-01-06 13:00:00,2020-01-06 12:48:42,-11.3
20,대구대정문 건너,2020-01-02 10:48:00,2020-01-02 10:52:41,4.68
20,하양역 건너,2020-01-02 10:58:00,2020-01-02 10:50:19,-7.68
20,상공회의소건너,2020-01-02 12:08:00,2020-01-02 12:08:39,0.65
20,안심역(4번출구),2020-01-02 12:48:00,2020-01-02 12:49:32,1.53
20,하양역,2020-01-02 13:03:00,2020-01-02 13:04:41,1.68
20,대구대정문 건너,2020-01-02 13:18:00,2020-01-02 13:17:12,-0.8
20,대구대정문 건너,2020-01-03 10:48:00,2020-01-03 10:53:16,5.27
20,하양역 건너,2020-01-03 10:58:00,2020-01-03 10:55:04,-2.93
20,상공회의소건너,2020-01-03 12:08:00,2020-01-03 12:12:13,4.22
20,안심역(4번출구),2020-01-03 12:48:00,2020-01-03 12:52:16,4.27
20,하양역,2020-01-03 13:03:00,2020-01-03 13:07:55,4.92
20,대구대정문 건너,2020-01-03 13:18:00,2020-01-03 13:07:04,-10.93
20,대구대정문 건너,2020-01-06 10:48:00,2020-01-06 10:47:18,-0.7
20,하양역 건너,2020-01-06 10:58:00,2020-01-06 10:56:25,-1.58
20,상공회의소건너,2020-01-06 12:08:00,2020-01-06 12:06:16,-1.73
20,안심역(4번출구),2020-01-06 12:48:00,2020-01-06 12:55:09,7.15
20,하양역,2020-01-06 13:03:00,2020-01-06 13:10:15,7.25
20,대구대정문 건너,2020-01-06 13:18:00,2020-01-06 13:24:00,6.0
21,대구대정문 건너,2020-01-02 11:06:00,2020-01-02 11:14:46,8.77
21,하양역 건너,2020-01-02 11:16:00,2020-01-02 11:16:27,0.45
21,상공회의소건너,2020-01-02 12:26:00,2020-01-02 12:23:42,-2.3
21,안심역(4번출구),2020-01-02 13:06:00,2020-01-02 13:03:35,-2.42
21,하양역,2020-01-02 13:21:00,2020-01-02 13:15:55,-5.08
21,대구대정문 건너,2020-01-02 13:36:00,2020-01-02 13:30:18,-5.7
21,대구대정문 건너,2020-01-03 11:06:00,2020-01-03 11:09:00,3.0
21,하양역 건너,2020-01-03 11:16:00,2020-01-03 11:14:06,-1.9
21,상공회의소건너,2020-01-03 12:26:00,2020-01-03 12:20:39,-5.35
21,안심역(4번출구),2020-01-03 13:06:00,2020-01-03 13:10:03,4.05
21,하양역,2020-01-03 13:21:00,2020-01-03 13:24:41,3.68
21,대구대정문 건너,2020-01-03 13:36:00,2020-01-03 13:30:33,-5.45
21,대구대정문 건너,2020-01-06 11:06:00,2020-01-06 11:03:00,-3.0
21,하양역 건너,2020-01-06 11:16:00,2020-01-06 11:19:18,3.3
21,상공회의소건너,2020-01-06 12:26:00,2020-01-06 12:26:52,0.87
21,안심역(4번출구),2020-01-06 13:06:00,2020-01-06 13:06:48,0.8
21,하양역,2020-01-06 13:21:00,2020-01-06 13:18:51,-2.15
21,대구대정문 건너,2020-01-06 13:36:00,2020-01-06 13:38:07,2.12
22,대구대정문 건너,2020-01-02 11:22:00,2020-01-02 11:21:44,-0.27
22,하양역 건너,2020-01-02 11:32:00,2020-01-02 11:34:49,2.82
22,상공회의소건너,2020-01-02 12:42:00,2020-01-02 12:38:25,-3.58
22,안심역(4번출구),2020-01-02 13:22:00,2020-01-02 13:17:47,-4.22
22,하양역,2020-01-02 13:37:00,2020-01-02 13:33:28,-3.53
22,대구대정문 건너,2020-01-02 13:52:00,2020-01-02 13:50:59,-1.02
22,대구대정문 건너,2020-01-03 11:22:00,2020-01-03 11:20:17,-1.72
22,하양역 건너,2020-01-03 11:32:00,2020-01-03 11:31:55,-0.08
22,상공회의소건너,2020-01-03 12:42:00,2020-01-03 12:44:23,2.38
22,안심역(4번출구),2020-01-03 13:22:00,2020-01-03 13:23:16,1.27
22,하양역,2020-01-03 13:37:00,2020-01-03 13:35:42,-1.3
22,대구대정문 건너,2020-01-03 13:52:00,2020-01-03 13:52:52,0.87
22,대구대정문 건너,2020-01-06 11:22:00,2020-01-06 11:23:00,1.0
22,하양역 건너,2020-01-06 11:32:00,2020-01-06 11:36:03,4.05
22,상공회의소건너,2020-01-06 12:42:00,2020-01-06 12:44:20,2.33
22,안심역(4번출구),2020-01-06 13:22:00,2020-01-06 13:26:08,4.13
22,하양역,2020-01-06 13:37:00,2020-01-06 13:38:48,1.8
22,대구대정문 건너,2020-01-06 13:52:00,2020-01-06 13:51:19,-0.68
23,대구대정문 건너,2020-01-02 11:40:00,2020-01-02 11:26:23,-13.62
23,하양역 건너,2020-01-02 11:50:00,2020-01-02 11:51:26,1.43
23,상공회의소건너,2020-01-02 13:00:00,2020-01-02 13:05:59,5.98
23,안심역(4번출구),2020-01-02 13:40:00,2020-01-02 13:46:06,6.1
23,하양역,2020-01-02 13:55:00,2020-01-02 14:01:46,6.77
23,대구대정문 건너,2020-01-02 14:10:00,2020-01-02 14:14:36,4.6
23,대구대정문 건너,2020-01-03 11:40:00,2020-01-03 11:32:11,-7.82
23,하양역 건너,2020-01-03 11:50:00,2020-01-03 11:56:29,6.48
23,상공회의소건너,2020-01-03 13:00:00,2020-01-03 13:03:34,3.57
23,안심역(4번출구),2020-01-03 13:40:00,2020-01-03 13:37:35,-2.42
23,하양역,2020-01-03 13:55:00,2020-01-03 13:50:21,-4.65
23,대구대정문 건너,2020-01-03 14:10:00,2020-01-03 14:10:31,0.52
23,대구대정문 건너,2020-01-06 11:40:00,2020-01-06 11:47:01,7.02
23,하양역 건너,2020-01-06 11:50:00,2020-01-06 11:55:33,5.55
23,상공회의소건너,2020-01-06 13:00:00,2020-01-06 13:05:00,5.0
23,안심역(4번출구),2020-01-06 13:40:00,2020-01-06 13:40:23,0.38
23,하양역,2020-01-06 13:55:00,2020-01-06 13:52:26,-2.57
23,대구대정문 건너,2020-01-06 14:10:00,2020-01-06 14:16:31,6.52
24,대구대정문 건너,2020-01-02 11:58:00,2020-01-02 11:55:06,-2.9
24,하양역 건너,2020-01-02 12:08:00,2020-01-02 12:05:38,-2.37
24,상공회의소건너,2020-01-02 13:18:00,2020-01-02 13:17:39,-0.35
24,안심역(4번출구),2020-01-02 13:58:00,2020-01-02 13:57:32,-0.47
24,하양역,2020-01-02 14:13:00,2020-01-02 14:15:44,2.73
24,대구대정문 건너,2020-01-02 14:28:00,2020-01-02 14:34:32,6.53
24,대구대정문 건너,2020-01-03 11:58:00,2020-01-03 11:57:29,-0.52
24,하양역 건너,2020-01-03 12:08:00,2020-01-03 12:09:06,1.1
24,상공회의소건너,2020-01-03 13:18:00,2020-01-03 13:17:52,-0.13
24,안심역(4번출구),2020-01-03 13:58:00,2020-01-03 14:00:21,2.35
24,하양역,2020-01-03 14:13:00,2020-01-03 14:15:18,2.3
24,대구대정문 건너,2020-01-03 14:28:00,2020-01-03 14:28:05,0.08
24,대구대정문 건너,2020-01-06 11:58:00,2020-01-06 12:01:05,3.08
24,하양역 건너,2020-01-06 12:08:00,2020-01-06 12:03:40,-4.33
24,상공회의소건너,2020-01-06 13:18:00,2020-01-06 13:11:57,-6.05
24,안심역(4번출구),2020-01-06 13:58:00,2020-01-06 13:49:07,-8.88
24,하양역,2020-01-06 14:13:00,2020-01-06 14:04:22,-8.63
24,대구대정문 건너,2020-01-06 14:28:00,2020-01-06 14:34:20,6.33
25,대구대정문 건너,2020-01-02 12:16:00,2020-01-02 12:08:48,-7.2
25,하양역 건너,2020-01-02 12:26:00,2020-01-02 12:14:19,-11.68
25,상공회의소건너,2020-01-02 13:36:00,2020-01-02 13:35:51,-0.15
25,안심역(4번출구),2020-01-02 14:16:00,2020-01-02 14:14:28,-1.53
25,하양역,2020-01-02 14:31:00,2020-01-02 14:27:47,-3.22
25,대구대정문 건너,2020-01-02 14:46:00,2020-01-02 14:48:18,2.3
25,대구대정문 건너,2020-01-03 12:16:00,2020-01-03 12:21:02,5.03
25,하양역 건너,2020-01-03 12:26:00,2020-01-03 12:23:36,-2.4
25,상공회의소건너,2020-01-03 13:36:00,2020-01-03 13:29:19,-6.68
25,안심역(4번출구),2020-01-03 14:16:00,2020-01-03 14:23:01,7.02
25,하양역,2020-01-03 14:31:00,2020-01-03 14:39:15,8.25
25,대구대정문 건너,2020-01-03 14:46:00,2020-01-03 14:40:33,-5.45
25,대구대정문 건너,2020-01-06 12:16:00,2020-01-06 12:20:43,4.72
25,하양역 건너,2020-01-06 12:26:00,2020-01-06 12:22:44,-3.27
25,상공회의소건너,2020-01-06 13:36:00,2020-01-06 13:39:15,3.25
25,안심역(4번출구),2020-01-06 14:16:00,2020-01-06 14:14:20,-1.67
25,하양역,2020-01-06 14:31:00,2020-01-06 14:29:13,-1.78
25,대구대정문 건너,2020-01-06 14:46:00,2020-01-06 14:42:24,-3.6
26,대구대정문 건너,2020-01-02 12:34:00,2020-01-02 12:34:24,0.4
26,하양역 건너,2020-01-02 12:44:00,2020-01-02 12:44:40,0.67
26,상공회의소건너,2020-01-02 13:54:00,2020-01-02 14:05:44,11.73
26,안심역(4번출구),2020-01-02 14:34:00,2020-01-02 14:45:35,11.58
26,하양역,2020-01-02 14:49:00,2020-01-02 14:58:12,9.2
26,대구대정문 건너,2020-01-02 15:04:00,2020-01-02 14:58:09,-5.85
26,대구대정문 건너,2020-01-03 12:34:00,2020-01-03 12:38:30,4.5
26,하양역 건너,2020-01-03 12:44:00,2020-01-03 12:42:42,-1.3
26,상공회의소건너,2020-01-03 13:54:00,2020-01-03 13:59:24,5.4
26,안심역(4번출구),2020-01-03 14:34:00,2020-01-03 14:34:18,0.3
26,하양역,2020-01-03 14:49:00,2020-01-03 14:46:17,-2.72
26,대구대정문 건너,2020-01-03 15:04:00,2020-01-03 14:54:06,-9.9
26,대구대정문 건너,2020-01-06 12:34:00,2020-01-06 12:41:02,7.03
26,하양역 건너,2020-01-06 12:44:00,2020-01-06 12:42:31,-1.48
26,상공회의소건너,2020-01-06 13:54:00,2020-01-06 13:47:46,-6.23
26,안심역(4번출구),2020-01-06 14:34:00,2020-01-06 14:28:36,-5.4
26,하양역,2020-01-06 14:49:00,2020-01-06 14:40:44,-8.27
26,대구대정문 건너,2020-01-06 15:04:00,2020-01-06 15:00:40,-3.33
27,대구대정문 건너,2020-01-02 12:52:00,2020-01-02 12:55:36,3.6
27,하양역 건너,2020-01-02 13:02:00,2020-01-02 13:08:18,6.3
27,상공회의소건너,2020-01-02 14:12:00,2020-01-02 14:08:18,-3.7
27,안심역(4번출구),2020-01-02 14:52:00,2020-01-02 14:54:04,2.07
27,하양역,2020-01-02 15:07:00,2020-01-02 15:06:53,-0.12
27,대구대정문 건너,2020-01-02 15:22:00,2020-01-02 15:26:20,4.33
27,대구대정문 건너,2020-01-03 12:52:00,2020-01-03 12:48:42,-3.3
27,하양역 건너,2020-01-03 13:02:00,2020-01-03 13:00:16,-1.73
27,상공회의소건너,2020-01-03 14:12:00,2020-01-03 14:14:29,2.48
27,안심역(4번출구),2020-01-03 14:52:00,2020-01-03 14:54:26,2.43
27,하양역,2020-01-03 15:07:00,2020-01-03 15:09:10,2.17
27,대구대정문 건너,2020-01-03 15:22:00,2020-01-03 15:23:03,1.05
27,대구대정문 건너,2020-01-06 12:52:00,2020-01-06 12:48:42,-3.3
27,하양역 건너,2020-01-06 13:02:00,2020-01-06 13:03:29,1.48
27,상공회의소건너,2020-01-06 14:12:00,2020-01-06 14:12:07,0.12
27,안심역(4번출구),2020-01-06 14:52:00,2020-01-06 14:51:53,-0.12
27,하양역,2020-01-06 15:07:00,2020-01-06 15:06:51,-0.15
27,대구대정문 건너,2020-01-06 15:22:00,2020-01-06 15:22:30,0.5
28,대구대정문 건너,2020-01-02 13:10:00,2020-01-02 13:06:44,-3.27
28,하양역 건너,2020-01-02 13:20:00,2020-01-02 13:22:22,2.37
28,상공회의소건너,2020-01-02 14:30:00,2020-01-02 14:32:55,2.92
28,안심역(4번출구),2020-01-02 15:10:00,2020-01-02 15:13:58,3.97
28,하양역,2020-01-02 15:25:00,2020-01-02 15:26:39,1.65
28,대구대정문 건너,2020-01-02 15:40:00,2020-01-02 15:39:10,-0.83
28,대구대정문 건너,2020-01-03 13:10:00,2020-01-03 13:07:04,-2.93
28,하양역 건너,2020-01-03 13:20:00,2020-01-03 13:19:45,-0.25
28,상공회의소건너,2020-01-03 14:30:00,2020-01-03 14:34:16,4.27
28,안심역(4번출구),2020-01-03 15:10:00,2020-01-03 15:11:08,1.13
28,하양역,2020-01-03 15:25:00,2020-01-03 15:23:09,-1.85
28,대구대정문 건너,2020-01-03 15:40:00,2020-01-03 15:36:30,-3.5
28,대구대정문 건너,2020-01-06 13:10:00,2020-01-06 13:24:00,14.0
28,하양역 건너,2020-01-06 13:20:00,2020-01-06 13:14:03,-5.95
28,상공회의소건너,2020-01-06 14:30:00,2020-01-06 14:33:57,3.95
28,안심역(4번출구),2020-01-06 15:10:00,2020-01-06 15:11:05,1.08
28,하양역,2020-01-06 15:25:00,2020-01-06 15:12:01,-12.98
28,대구대정문 건너,2020-01-06 15:40:00,2020-01-06 15:38:52,-1.13
29,대구대정문 건너,2020-01-02 13:28:00,2020-01-02 13:30:18,2.3
29,하양역 건너,2020-01-02 13:38:00,2020-01-02 13:42:19,4.32
29,상공회의소건너,2020-01-02 14:48:00,2020-01-02 14:47:31,-0.48
29,안심역(4번출구),2020-01-02 15:28:00,2020-01-02 15:22:46,-5.23
29,하양역,2020-01-02 15:43:00,2020-01-02 15:37:31,-5.48
29,대구대정문 건너,2020-01-02 15:58:00,2020-01-02 15:49:56,-8.07
29,대구대정문 건너,2020-01-03 13:28:00,2020-01-03 13:30:33,2.55
29,하양역 건너,2020-01-03 13:38:00,2020-01-03 13:43:15,5.25
29,상공회의소건너,2020-01-03 14:48:00,2020-01-03 14:44:50,-3.17
29,안심역(4번출구),2020-01-03 15:28:00,2020-01-03 15:34:02,6.03
29,하양역,2020-01-03 15:43:00,2020-01-03 15:46:39,3.65
29,대구대정문 건너,2020-01-03 15:58:00,2020-01-03 15:58:48,0.8
29,대구대정문 건너,2020-01-06 13:28:00,2020-01-06 13:30:49,2.82
29,하양역 건너,2020-01-06 13:38:00,2020-01-06 13:31:35,-6.42
29,상공회의소건너,2020-01-06 14:48:00,2020-01-06 15:01:56,13.93
29,안심역(4번출구),2020-01-06 15:28:00,2020-01-06 15:39:37,11.62
29,하양역,2020-01-06 15:43:00,2020-01-06 15:55:18,12.3
29,대구대정문 건너,2020-01-06 15:58:00,2020-01-06 16:04:43,6.72
30,대구대정문 건너,2020-01-02 13:46:00,2020-01-02 13:47:00,1.0
30,하양역 건너,2020-01-02 13:56:00,2020-01-02 13:47:44,-8.27
30,상공회의소건너,2020-01-02 15:06:00,2020-01-02 15:05:23,-0.62
30,안심역(4번출구),2020-01-02 15:46:00,2020-01-02 15:45:08,-0.87
30,하양역,2020-01-02 16:01:00,2020-01-02 16:00:20,-0.67
30,대구대정문 건너,2020-01-02 16:16:00,2020-01-02 16:22:34,6.57
30,대구대정문 건너,2020-01-03 13:46:00,2020-01-03 13:46:53,0.88
30,하양역 건너,2020-01-03 13:56:00,2020-01-03 13:50:35,-5.42
30,상공회의소건너,2020-01-03 15:06:00,2020-01-03 15:11:24,5.4
30,안심역(4번출구),2020-01-03 15:46:00,2020-01-03 15:50:48,4.8
30,하양역,2020-01-03 16:01:00,2020-01-03 16:03:27,2.45
30,대구대정문 건너,2020-01-03 16:16:00,2020-01-03 16:24:44,8.73
30,대구대정문 건너,2020-01-06 13:46:00,2020-01-06 13:51:19,5.32
30,하양역 건너,2020-01-06 13:56:00,2020-01-06 13:59:47,3.78
30,상공회의소건너,2020-01-06 15:06:00,2020-01-06 15:08:59,2.98
30,안심역(4번출구),2020-01-06 15:46:00,2020-01-06 15:50:40,4.67
30,하양역,2020-01-06 16:01:00,2020-01-06 16:03:12,2.2
30,대구대정문 건너,2020-01-06 16:16:00,2020-01-06 16:16:35,0.58
31,대구대정문 건너,2020-01-02 14:04:00,2020-01-02 14:14:36,10.6
31,하양역 건너,2020-01-02 14:14:00,2020-01-02 14:14:59,0.98
31,상공회의소건너,2020-01-02 15:24:00,2020-01-02 15:18:37,-5.38
31,안심역(4번출구),2020-01-02 16:04:00,2020-01-02 16:07:53,3.88
31,하양역,2020-01-02 16:19:00,2020-01-02 16:20:10,1.17
31,대구대정문 건너,2020-01-02 16:34:00,2020-01-02 16:40:18,6.3
31,대구대정문 건너,2020-01-03 14:04:00,2020-01-03 14:10:31,6.52
31,하양역 건너,2020-01-03 14:14:00,2020-01-03 14:15:02,1.03
31,상공회의소건너,2020-01-03 15:24:00,2020-01-03 15:21:28,-2.53
31,안심역(4번출구),2020-01-03 16:04:00,2020-01-03 15:59:28,-4.53
31,하양역,2020-01-03 16:19:00,2020-01-03 16:15:02,-3.97
31,대구대정문 건너,2020-01-03 16:34:00,2020-01-03 16:28:33,-5.45
31,대구대정문 건너,2020-01-06 14:04:00,2020-01-06 13:55:03,-8.95
31,하양역 건너,2020-01-06 14:14:00,2020-01-06 14:14:16,0.27
31,상공회의소건너,2020-01-06 15:24:00,2020-01-06 15:17:52,-6.13
31,안심역(4번출구),2020-01-06 16:04:00,2020-01-06 15:56:58,-7.03
31,하양역,2020-01-06 16:19:00,2020-01-06 16:26:12,7.2
31,대구대정문 건너,2020-01-06 16:34:00,2020-01-06 16:24:37,-9.38
32,대구대정문 건너,2020-01-02 14:22:00,2020-01-02 14:14:47,-7.22
32,하양역 건너,2020-01-02 14:32:00,2020-01-02 14:29:34,-2.43
32,상공회의소건너,2020-01-02 15:42:00,2020-01-02 15:44:28,2.47
32,안심역(4번출구),2020-01-02 16:22:00,2020-01-02 16:24:50,2.83
32,하양역,2020-01-02 16:37:00,2020-01-02 16:34:54,-2.1
32,대구대정문 건너,2020-01-02 16:52:00,2020-01-02 16:44:20,-7.67
32,대구대정문 건너,2020-01-03 14:22:00,2020-01-03 14:18:17,-3.72
32,하양역 건너,2020-01-03 14:32:00,2020-01-03 14:34:09,2.15
32,상공회의소건너,2020-01-03 15:42:00,2020-01-03 15:46:02,4.03
32,안심역(4번출구),2020-01-03 16:22:00,2020-01-03 16:27:45,5.75
32,하양역,2020-01-03 16:37:00,2020-01-03 16:42:21,5.35
32,대구대정문 건너,2020-01-03 16:52:00,2020-01-03 16:54:36,2.6
32,대구대정문 건너,2020-01-06 14:22:00,2020-01-06 14:16:45,-5.25
32,하양역 건너,2020-01-06 14:32:00,2020-01-06 14:28:34,-3.43
32,상공회의소건너,2020-01-06 15:42:00,2020-01-06 15:39:01,-2.98
32,안심역(4번출구),2020-01-06 16:22:00,2020-01-06 16:22:21,0.35
32,하양역,2020-01-06 16:37:00,2020-01-06 16:35:32,-1.47
32,대구대정문 건너,2020-01-06 16:52:00,2020-01-06 16:50:31,-1.48
33,대구대정문 건너,2020-01-02 14:40:00,2020-01-02 14:34:32,-5.47
33,하양역 건너,2020-01-02 14:50:00,2020-01-02 14:45:42,-4.3
33,상공회의소건너,2020-01-02 16:00:00,2020-01-02 15:54:29,-5.52
33,안심역(4번출구),2020-01-02 16:40:00,2020-01-02 16:40:04,0.07
33,하양역,2020-01-02 16:55:00,2020-01-02 16:53:31,-1.48
33,대구대정문 건너,2020-01-02 17:10:00,2020-01-02 17:08:17,-1.72
33,대구대정문 건너,2020-01-03 14:40:00,2020-01-03 14:40:33,0.55
33,하양역 건너,2020-01-03 14:50:00,2020-01-03 14:53:11,3.18
33,상공회의소건너,2020-01-03 16:00:00,2020-01-03 16:03:02,3.03
33,안심역(4번출구),2020-01-03 16:40:00,2020-01-03 16:42:42,2.7
33,하양역,2020-01-03 16:55:00,2020-01-03 16:56:37,1.62
33,대구대정문 건너,2020-01-03 17:10:00,2020-01-03 17:08:37,-1.38
33,대구대정문 건너,2020-01-06 14:40:00,2020-01-06 14:42:24,2.4
33,하양역 건너,2020-01-06 14:50:00,2020-01-06 14:55:53,5.88
33,상공회의소건너,2020-01-06 16:00:00,2020-01-06 15:57:04,-2.93
33,안심역(4번출구),2020-01-06 16:40:00,2020-01-06 16:42:51,2.85
33,하양역,2020-01-06 16:55:00,2020-01-06 16:56:45,1.75
33,대구대정문 건너,2020-01-06 17:10:00,2020-01-06 17:10:19,0.32
34,대구대정문 건너,2020-01-02 14:57:00,2020-01-02 14:58:09,1.15
34,하양역 건너,2020-01-02 15:07:00,2020-01-02 15:10:30,3.5
34,상공회의소건너,2020-01-02 16:17:00,2020-01-02 16:13:25,-3.58
34,안심역(4번출구),2020-01-02 16:57:00,2020-01-02 16:57:46,0.77
34,하양역,2020-01-02 17:12:00,2020-01-02 17:11:30,-0.5
34,대구대정문 건너,2020-01-02 17:27:00,2020-01-02 17:25:19,-1.68
34,대구대정문 건너,2020-01-03 14:57:00,2020-01-03 14:54:06,-2.9
34,하양역 건너,2020-01-03 15:07:00,2020-01-03 14:53:11,-13.82
34,상공회의소건너,2020-01-03 16:17:00,2020-01-03 16:22:21,5.35
34,안심역(4번출구),2020-01-03 16:57:00,2020-01-03 17:09:48,12.8
34,하양역,2020-01-03 17:12:00,2020-01-03 17:23:11,11.18
34,대구대정문 건너,2020-01-03 17:27:00,2020-01-03 17:31:16,4.27
34,대구대정문 건너,2020-01-06 14:57:00,2020-01-06 14:54:03,-2.95
34,하양역 건너,2020-01-06 15:07:00,2020-01-06 15:15:51,8.85
34,상공회의소건너,2020-01-06 16:17:00,2020-01-06 16:19:07,2.12
34,안심역(4번출구),2020-01-06 16:57:00,2020-01-06 16:49:01,-7.98
34,하양역,2020-01-06 17:12:00,2020-01-06 17:02:59,-9.02
34,대구대정문 건너,2020-01-06 17:27:00,2020-01-06 17:36:24,9.4
35,대구대정문 건너,2020-01-02 15:14:00,2020-01-02 15:10:17,-3.72
35,하양역 건너,2020-01-02 15:24:00,2020-01-02 15:21:25,-2.58
35,상공회의소건너,2020-01-02 16:34:00,2020-01-02 16:42:50,8.83
35,안심역(4번출구),2020-01-02 17:14:00,2020-01-02 17:18:46,4.77
35,하양역,2020-01-02 17:29:00,2020-01-02 17:32:50,3.83
35,대구대정문 건너,2020-01-02 17:44:00,2020-01-02 17:45:00,1.0
35,대구대정문 건너,2020-01-03 15:14:00,2020-01-03 15:20:19,6.32
35,하양역 건너,2020-01-03 15:24:00,2020-01-03 15:22:08,-1.87
35,상공회의소건너,2020-01-03 16:34:00,2020-01-03 16:37:24,3.4
35,안심역(4번출구),2020-01-03 17:14:00,2020-01-03 17:15:58,1.97
35,하양역,2020-01-03 17:29:00,2020-01-03 17:29:46,0.77
35,대구대정문 건너,2020-01-03 17:44:00,2020-01-03 17:38:07,-5.88
35,대구대정문 건너,2020-01-06 15:14:00,2020-01-06 15:22:30,8.5
35,하양역 건너,2020-01-06 15:24:00,2020-01-06 15:24:13,0.22
35,상공회의소건너,2020-01-06 16:34:00,2020-01-06 16:31:35,-2.42
35,안심역(4번출구),2020-01-06 17:14:00,2020-01-06 17:12:45,-1.25
35,하양역,2020-01-06 17:29:00,2020-01-06 17:27:11,-1.82
35,대구대정문 건너,2020-01-06 17:44:00,2020-01-06 17:37:26,-6.57
36,대구대정문 건너,2020-01-02 15:31:00,2020-01-02 15:26:20,-4.67
36,하양역 건너,2020-01-02 15:41:00,2020-01-02 15:40:59,-0.02
36,상공회의소건너,2020-01-02 16:51:00,2020-01-02 16:45:56,-5.07
36,안심역(4번출구),2020-01-02 17:31:00,2020-01-02 17:42:50,11.83
36,하양역,2020-01-02 17:46:00,2020-01-02 17:56:32,10.53
36,대구대정문 건너,2020-01-02 18:01:00,2020-01-02 17:52:45,-8.25
36,대구대정문 건너,2020-01-03 15:31:00,2020-01-03 15:36:30,5.5
36,하양역 건너,2020-01-03 15:41:00,2020-01-03 15:39:17,-1.72
36,상공회의소건너,2020-01-03 16:51:00,2020-01-03 16:46:34,-4.43
36,안심역(4번출구),2020-01-03 17:31:00,2020-01-03 17:33:49,2.82
36,하양역,2020-01-03 17:46:00,2020-01-03 17:47:19,1.32
36,대구대정문 건너,2020-01-03 18:01:00,2020-01-03 17:58:56,-2.07
36,대구대정문 건너,2020-01-06 15:31:00,2020-01-06 15:24:38,-6.37
36,하양역 건너,2020-01-06 15:41:00,2020-01-06 15:36:02,-4.97
36,상공회의소건너,2020-01-06 16:51:00,2020-01-06 16:45:28,-5.53
36,안심역(4번출구),2020-01-06 17:31:00,2020-01-06 17:30:42,-0.3
36,하양역,2020-01-06 17:46:00,2020-01-06 17:44:23,-1.62
36,대구대정문 건너,2020-01-06 18:01:00,2020-01-06 17:58:39,-2.35
37,대구대정문 건너,2020-01-02 15:48:00,2020-01-02 15:49:56,1.93
37,하양역 건너,2020-01-02 15:58:00,2020-01-02 15:55:44,-2.27
37,상공회의소건너,2020-01-02 17:08:00,2020-01-02 17:04:57,-3.05
37,안심역(4번출구),2020-01-02 17:48:00,2020-01-02 17:49:00,1.0
37,하양역,2020-01-02 18:03:00,2020-01-02 18:02:54,-0.1
37,대구대정문 건너,2020-01-02 18:18:00,2020-01-02 18:16:13,-1.78
37,대구대정문 건너,2020-01-03 15:48:00,2020-01-03 15:46:09,-1.85
37,하양역 건너,2020-01-03 15:58:00,2020-01-03 15:56:24,-1.6
37,상공회의소건너,2020-01-03 17:08:00,2020-01-03 17:07:48,-0.2
37,안심역(4번출구),2020-01-03 17:48:00,2020-01-03 17:42:51,-5.15
37,하양역,2020-01-03 18:03:00,2020-01-03 18:08:44,5.73
37,대구대정문 건너,2020-01-03 18:18:00,2020-01-03 18:14:49,-3.18
37,대구대정문 건너,2020-01-06 15:48:00,2020-01-06 15:46:16,-1.73
37,하양역 건너,2020-01-06 15:58:00,2020-01-06 16:01:04,3.07
37,상공회의소건너,2020-01-06 17:08:00,2020-01-06 17:05:42,-2.3
37,안심역(4번출구),2020-01-06 17:48:00,2020-01-06 17:48:53,0.88
37,하양역,2020-01-06 18:03:00,2020-01-06 18:03:33,0.55
37,대구대정문 건너,2020-01-06 18:18:00,2020-01-06 18:16:33,-1.45
38,대구대정문 건너,2020-01-02 16:05:00,2020-01-02 15:49:56,-15.07
38,하양역 건너,2020-01-02 16:15:00,2020-01-02 16:25:27,10.45
38,상공회의소건너,2020-01-02 17:25:00,2020-01-02 17:21:05,-3.92
38,안심역(4번출구),2020-01-02 18:05:00,2020-01-02 18:07:11,2.18
38,하양역,2020-01-02 18:20:00,2020-01-02 18:20:29,0.48
38,대구대정문 건너,2020-01-02 18:35:00,2020-01-02 18:34:28,-0.53
38,대구대정문 건너,2020-01-03 16:05:00,2020-01-03 16:01:59,-3.02
38,하양역 건너,2020-01-03 16:15:00,2020-01-03 16:13:00,-2.0
38,상공회의소건너,2020-01-03 17:25:00,2020-01-03 17:24:47,-0.22
38,안심역(4번출구),2020-01-03 18:05:00,2020-01-03 18:03:43,-1.28
38,하양역,2020-01-03 18:20:00,2020-01-03 18:17:28,-2.53
38,대구대정문 건너,2020-01-03 18:35:00,2020-01-03 18:34:22,-0.63
38,대구대정문 건너,2020-01-06 16:05:00,2020-01-06 16:04:43,-0.28
38,하양역 건너,2020-01-06 16:15:00,2020-01-06 16:18:45,3.75
38,상공회의소건너,2020-01-06 17:25:00,2020-01-06 17:22:08,-2.87
38,안심역(4번출구),2020-01-06 18:05:00,2020-01-06 18:06:45,1.75
38,하양역,2020-01-06 18:20:00,2020-01-06 18:20:12,0.2
